                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.61786,                0.67761,                0.89026,                0.99592,                0.90476,                0.95452,                0.39071,                 1.6645,                 1.1891,                 2.1229,             0.00052914,             0.00052914,             0.00052914
                     55,                0.62552,                0.72538,                0.89511,                0.99602,                0.90476,                0.90741,                0.40015,                 1.6205,                 1.1842,                  2.137,             0.00050086,             0.00050086,             0.00050086
                     56,                0.66678,                  0.854,                   0.92,                0.99515,                0.90476,                0.90565,                0.39865,                 1.5503,                 1.1917,                 2.0922,             0.00047257,             0.00047257,             0.00047257
                     57,                0.63371,                0.72807,                 0.9354,                0.99447,                0.90476,                0.90726,                 0.4054,                 1.5554,                 1.1773,                 2.0198,             0.00044429,             0.00044429,             0.00044429
                     58,                0.59095,                0.64218,                0.91228,                0.99511,                0.90476,                0.90748,                0.39617,                 1.5973,                 1.1819,                 1.9559,               0.000416,               0.000416,               0.000416
                     59,                0.54972,                0.63531,                0.87965,                0.99531,                0.90476,                   0.91,                0.40296,                  1.624,                 1.1704,                 1.9603,             0.00038771,             0.00038771,             0.00038771
                     60,                0.57921,                0.71407,                0.88993,                0.99594,                0.90476,                0.90712,                0.42264,                 1.6265,                 1.1301,                 2.0065,             0.00035943,             0.00035943,             0.00035943
                     61,                0.54655,                0.79177,                0.83333,                0.94465,                0.85714,                0.86408,                0.42535,                 1.6361,                 1.1036,                 2.0337,             0.00033114,             0.00033114,             0.00033114
                     62,                0.52913,                0.76986,                0.82585,                0.94702,                0.85155,                0.87917,                 0.4186,                 1.6521,                 1.0946,                 2.0545,             0.00030286,             0.00030286,             0.00030286
                     63,                0.46544,                0.71244,                0.84275,                0.94628,                 0.8394,                 0.8781,                0.42481,                 1.6538,                 1.0711,                 2.0842,             0.00027457,             0.00027457,             0.00027457
                     64,                 0.4733,                0.71222,                0.83152,                0.89588,                0.85714,                0.87201,                 0.3971,                   1.65,                 1.0591,                 2.0877,             0.00024629,             0.00024629,             0.00024629
                     65,                0.51888,                0.73743,                0.85568,                0.89613,                0.85714,                0.86769,                0.39824,                 1.6267,                  1.041,                 2.0792,               0.000218,               0.000218,               0.000218
                     66,                0.51683,                 0.7173,                0.84032,                0.89606,                0.85714,                0.86527,                0.40511,                 1.6017,                 1.0205,                  2.071,             0.00018971,             0.00018971,             0.00018971
                     67,                0.43245,                0.68948,                 0.8417,                0.89606,                0.85714,                0.86584,                0.41887,                 1.5893,                 1.0282,                 2.0625,             0.00016143,             0.00016143,             0.00016143
                     68,                0.46062,                0.69356,                0.84544,                0.89604,                0.85714,                0.86941,                0.43847,                 1.5821,                 1.0279,                 2.0647,             0.00013314,             0.00013314,             0.00013314
                     69,                0.43233,                0.68448,                 0.8145,                0.89603,                0.85714,                0.86963,                 0.4394,                  1.569,                 1.0138,                 2.0622,             0.00010486,             0.00010486,             0.00010486
                     70,                0.47485,                 0.6942,                 0.8433,                0.89621,                0.85714,                0.86395,                0.43261,                 1.5611,                 1.0018,                 2.0572,             7.6571e-05,             7.6571e-05,             7.6571e-05
