                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.97933,                0.63234,                0.98917,                0.94898,                0.87184,                0.91077,                0.62402,                 1.1233,                0.65861,                 1.0791,               0.000911,               0.000911,               0.000911
                     58,                0.98544,                 0.6473,                 1.0167,                0.96528,                0.86719,                0.93846,                0.63696,                 1.1296,                0.65208,                 1.0979,              0.0008912,              0.0008912,              0.0008912
                     59,                0.99982,                0.61954,                 1.0037,                0.94682,                0.88281,                0.92407,                0.60885,                  1.166,                0.65528,                 1.1466,              0.0008714,              0.0008714,              0.0008714
                     60,                0.96183,                0.60596,                0.97267,                 0.9278,                0.90625,                0.91585,                0.64162,                  1.103,                0.64374,                 1.0384,              0.0008516,              0.0008516,              0.0008516
                     61,                0.99747,                 0.6398,                 1.0064,                0.93286,                0.91406,                0.93882,                0.62139,                 1.1353,                0.61487,                 1.0945,              0.0008318,              0.0008318,              0.0008318
                     62,                0.96526,                0.61335,                0.99195,                0.92897,                0.91955,                0.92678,                0.59631,                 1.1383,                0.63694,                 1.1593,               0.000812,               0.000812,               0.000812
                     63,                0.91161,                0.59218,                0.98437,                0.94341,                 0.9117,                0.92405,                0.62885,                 1.0793,                0.62874,                 1.0849,              0.0007922,              0.0007922,              0.0007922
                     64,                0.92052,                0.58965,                0.98456,                  0.927,                0.89293,                 0.9259,                0.61832,                 1.0853,                0.64444,                 1.0897,              0.0007724,              0.0007724,              0.0007724
                     65,                0.91404,                 0.5839,                0.98768,                0.93119,                0.88281,                0.92708,                0.60417,                 1.1246,                0.66433,                 1.1294,              0.0007526,              0.0007526,              0.0007526
                     66,                0.93224,                0.59354,                 0.9738,                0.92752,                0.86719,                0.92853,                0.59943,                 1.1381,                0.67714,                 1.1212,              0.0007328,              0.0007328,              0.0007328
                     67,                0.89999,                0.56714,                0.94711,                0.92277,                0.93346,                0.93045,                0.62355,                 1.1309,                0.60561,                  1.115,               0.000713,               0.000713,               0.000713
